artikul,mehsul_adi,aciqlama,ilkin_qiymet,kataloq_qiymeti,anbar_qiymeti,saticilara_ozel_endirimli_qiymet,mehsul_bali
12086,"2-si 1-də üz kremi ""Balans və qüsurların aradan qaldırılması""","2-si 1-də üz kremi ""Balans və qüsurların aradan qaldırılması"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-062413?sponsornumber=733560909&page=10",7.89,3.79,2.81,,0.85
10302,"Saç maskası ""Ekstranəmləndirmə və qidalandırma""","Saç maskası ""Ekstranəmləndirmə və qidalandırma"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-066839?sponsornumber=733560909&page=10",14.39,7.19,5.33,,1.62
10301,"Şampun ""Ekstranəmləndirmə və qidalandırma"" Coco Rituals","Şampun ""Ekstranəmləndirmə və qidalandırma"" Coco Rituals - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-066838?sponsornumber=733560909&page=10",21.59,10.79,7.99,,2.42
910617,"Gümüş ionları ilə diş fırçası, rəngi çəhrayı","Gümüş ionları ilə diş fırçası, rəngi çəhrayı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-069276?sponsornumber=733560909&page=10",5.79,3.09,2.29,,0.69
910616,"Gümüş ionları ilə diş fırçası, rəngi boz","Gümüş ionları ilə diş fırçası, rəngi boz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-069275?sponsornumber=733560909&page=10",5.79,3.09,2.29,,0.69
910615,"Gümüş ionları ilə diş fırçası, rəngi yaşıl","Gümüş ionları ilə diş fırçası, rəngi yaşıl - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-069274?sponsornumber=733560909&page=10",5.79,3.09,2.29,,0.69
910614,"Gümüş ionları ilə ultrayumşaq diş fırçası, rəngi boz","Gümüş ionları ilə ultrayumşaq diş fırçası, rəngi boz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-069273?sponsornumber=733560909&page=10",5.79,3.09,2.29,,0.69
910613,"Gümüş ionları ilə ultrayumşaq diş fırçası, rəngi nanə","Gümüş ionları ilə ultrayumşaq diş fırçası, rəngi nanə - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-069259?sponsornumber=733560909&page=10",5.79,3.09,2.29,,0.69
41307,Dodaq balzam-qələmi Glam Kitty «Konfet»,Dodaq balzam-qələmi Glam Kitty «Konfet» - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-067709?sponsornumber=733560909&page=10,7.19,4.29,3.18,,0.96
41306,Dodaq balzam-qələmi Glam Kitty «Qarpız»,Dodaq balzam-qələmi Glam Kitty «Qarpız» - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-067708?sponsornumber=733560909&page=10,7.19,4.29,3.18,,0.96
8021,Əl krem-sabunu Coco Rituals,Əl krem-sabunu Coco Rituals - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-066786?sponsornumber=733560909&page=10,14.39,7.19,5.33,,1.62
8020,Duş krem-geli Coco Rituals,Duş krem-geli Coco Rituals - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-066785?sponsornumber=733560909&page=10,19.19,9.59,7.1,,2.15
910554,Portativ irriqator üçün başlıqlar dəsti Expert,Portativ irriqator üçün başlıqlar dəsti Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-062363?sponsornumber=733560909&page=10,9.59,7.19,5.33,,1.62
41264,Dodaqlar üçün peptidli balzam-zərdab It’s Collagen,Dodaqlar üçün peptidli balzam-zərdab It’s Collagen - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-064320?sponsornumber=733560909&page=10,9.59,4.29,3.18,,0.96
12079,Pilinq-disklər iSeul,Pilinq-disklər iSeul - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080205-069942?sponsornumber=733560909&page=10,19.19,11.49,8.51,,5.16
12209,"Antioksidant parça üz maskası ""Elastiklik""","Antioksidant parça üz maskası ""Elastiklik"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-066159?sponsornumber=733560909&page=10",4.79,3.59,2.66,1.77,1.61
12208,"Rahatlaşdırıcı parça üz maskası ""Balans""","Rahatlaşdırıcı parça üz maskası ""Balans"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-066157?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12207,"Üz üçün vitaminli parça maska ""Parıltı""","Üz üçün vitaminli parça maska ""Parıltı"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-066156?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12206,"Antiyaşlanma parça üz maskası ""Qırışların hamarlaşdırılması""","Antiyaşlanma parça üz maskası ""Qırışların hamarlaşdırılması"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-066155?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12205,"Bərpaedici parça üz maskası ""Canlandırma""","Bərpaedici parça üz maskası ""Canlandırma"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064540?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12204,"Yeniləyici parça üz maskası ""Təravət""","Yeniləyici parça üz maskası ""Təravət"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064539?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12203,"Tarımlaşdırıcı parça üz maskası ""Gənclik""","Tarımlaşdırıcı parça üz maskası ""Gənclik"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064538?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12202,"Gəncləşdirici parça üz maskası ""Liftinq""","Gəncləşdirici parça üz maskası ""Liftinq"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064537?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12201,"Nəmləndirici parça üz maskası ""Şəkildəyişmə""","Nəmləndirici parça üz maskası ""Şəkildəyişmə"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064536?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12200,"Möhkəmləndirici parça üz maskası ""Tonus","Möhkəmləndirici parça üz maskası ""Tonus - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064535?sponsornumber=733560909&page=11",4.79,3.59,2.66,1.77,1.61
12130,Üz üçün krem-buz iSeul,Üz üçün krem-buz iSeul - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-067745?sponsornumber=733560909&page=11,31.19,21.59,15.99,,9.69
12161,"2-si 1-də üz kremi ""Liftinq və qidalandırma""","2-si 1-də üz kremi ""Liftinq və qidalandırma"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-066740?sponsornumber=733560909&page=11",7.89,3.79,2.81,,0.85
910620,Saç boyama dəsti,Saç boyama dəsti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/02060507-069562?sponsornumber=733560909&page=11,13.79,10.49,7.77,,2.35
3673,"Bütün dəri tipləri üçün C vitamini ilə misellyar su ""Oksigenli nəfəs"" Oxiology","Bütün dəri tipləri üçün C vitamini ilə misellyar su ""Oksigenli nəfəs"" Oxiology - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-069574?sponsornumber=733560909&page=11",11.99,9.09,6.73,3.84,4.08
41210-41215,Həcm effektli dodaq parıltısı Glossy Lips,Həcm effektli dodaq parıltısı Glossy Lips - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0199-081945?sponsornumber=733560909&page=11,7.89,4.09,3.03,,0.92
12129,"Üz, əl və bədən kremi ""Moruqlu milfey"" Beauty Cafe","Üz, əl və bədən kremi ""Moruqlu milfey"" Beauty Cafe - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-066739?sponsornumber=733560909&page=11",9.59,5.69,4.21,,1.28
71053,Dırnaqlar və kutikul üçün nəmləndirici süd-zərdab Raspberry Milk,Dırnaqlar və kutikul üçün nəmləndirici süd-zərdab Raspberry Milk - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020402-055034?sponsornumber=733560909&page=11,9.59,4.79,3.55,,1.08
10325,2-si 1-də şampun-duş geli Lancelot,2-si 1-də şampun-duş geli Lancelot - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-064432?sponsornumber=733560909&page=11,11.99,9.09,6.73,4.36,4.08
12120,Üz üçün hialuronlu pilinq-cilalama HyaluronCa,Üz üçün hialuronlu pilinq-cilalama HyaluronCa - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-063991?sponsornumber=733560909&page=11,16.79,8.39,6.21,,3.76
6821,Kişilər üçün dezodorant-antiperspirant 8 Element,Kişilər üçün dezodorant-antiperspirant 8 Element - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-066660?sponsornumber=733560909&page=11,7.89,4.29,3.18,,0.96
3758,Alüminiumsuz dezodorant Expert Pharma,Alüminiumsuz dezodorant Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-062581?sponsornumber=733560909&page=11,9.59,4.79,3.55,,2.15
8904,"Bədən üçün köpüklənən vitaminli gel-skrab ""Manqo və papaya"" Vitamania","Bədən üçün köpüklənən vitaminli gel-skrab ""Manqo və papaya"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-060964?sponsornumber=733560909&page=12",9.59,4.29,3.18,,0.96
8903,"Bədən üçün köpüklənən vitaminli gel-skrab ""Qarpız və yemiş"" Vitamania","Bədən üçün köpüklənən vitaminli gel-skrab ""Qarpız və yemiş"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-060963?sponsornumber=733560909&page=12",9.59,4.29,3.18,,0.96
12046,"Bədən quruluşu korreksiyası üçün aktiv krem ""Termoeffekt"" Expert","Bədən quruluşu korreksiyası üçün aktiv krem ""Termoeffekt"" Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080501-058552?sponsornumber=733560909&page=12",19.19,9.59,7.1,,4.3
3540,Depilyasiya üçün krem Deline,Depilyasiya üçün krem Deline - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010605-063766?sponsornumber=733560909&page=12,16.79,8.39,6.21,,3.76
12058,Trekserutin və zəi ekstraktı ilə ayaq geli Expert Pharma,Trekserutin və zəi ekstraktı ilə ayaq geli Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-064033?sponsornumber=733560909&page=12,7.89,3.79,2.81,,0.85
3269,Çapıqlara qarşı bərpaedici bədən kremi Expert,Çapıqlara qarşı bərpaedici bədən kremi Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080502-054535?sponsornumber=733560909&page=12,28.79,16.79,12.44,,7.54
3542,Depilyasiya üçün mum zolaqlar Deline,Depilyasiya üçün mum zolaqlar Deline - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010605-054070?sponsornumber=733560909&page=12,16.79,8.39,6.21,,1.88
12121,Göz ətrafı dərisi üçün dairəvi hidrogel patçlar HyaluronCa,Göz ətrafı dərisi üçün dairəvi hidrogel patçlar HyaluronCa - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064043?sponsornumber=733560909&page=12,3.79,2.89,2.14,1.03,0.65
1450,Bədən misti «Çimərlik» Samba del Rio,Bədən misti «Çimərlik» Samba del Rio - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-066629?sponsornumber=733560909&page=12,5.29,4.09,3.03,2.21,1.84
10316,"2-si 1-də şampun-balzam ""Çimərlik"" Samba del Rio","2-si 1-də şampun-balzam ""Çimərlik"" Samba del Rio - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070303-063007?sponsornumber=733560909&page=12",11.99,9.09,6.73,3.62,4.08
41837,Dodaq balzamı «Çiyələkli makarun» Beauty Cafe,Dodaq balzamı «Çiyələkli makarun» Beauty Cafe - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-062130?sponsornumber=733560909&page=12,5.79,4.29,3.18,1.84,1.93
41836,Dodaq balzamı «Moruqlu milfey» Beauty Cafe,Dodaq balzamı «Moruqlu milfey» Beauty Cafe - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-062129?sponsornumber=733560909&page=12,5.79,4.29,3.18,1.84,1.93
41835,Dodaq balzamı «Armudlu parfe» Beauty Cafe,Dodaq balzamı «Armudlu parfe» Beauty Cafe - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-062128?sponsornumber=733560909&page=12,5.79,4.29,3.18,1.84,1.93
41834,Dodaq balzamı «Portağallı merenqa» Beauty Cafe,Dodaq balzamı «Portağallı merenqa» Beauty Cafe - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-062127?sponsornumber=733560909&page=12,5.79,4.29,3.18,1.84,1.93
12115,"Büst və dekolte kremi ""Çimərlik"" Samba del Rio","Büst və dekolte kremi ""Çimərlik"" Samba del Rio - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-063915?sponsornumber=733560909&page=12",11.99,9.09,6.73,3.99,4.08
3282-10324,Davamlı saç krem-boyası Expert,Davamlı saç krem-boyası Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0199-060887?sponsornumber=733560909&page=12,11.99,5.99,4.44,,1.35
10300,Oksigenli şampun Oxy Hair,Oksigenli şampun Oxy Hair - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070303-062963?sponsornumber=733560909&page=12,16.79,11.99,8.88,6.21,5.38
2048,Menopauza dövründə intim gigiyena geli Expert Pharma,Menopauza dövründə intim gigiyena geli Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010605-063005?sponsornumber=733560909&page=12,9.59,4.79,3.55,,1.08
910596,Diş sapı ilə diş çöpləri Expert Pharma,Diş sapı ilə diş çöpləri Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-067186?sponsornumber=733560909&page=12,5.79,3.09,2.29,,0.69
2031,Yeniyetmələr üçün intim gigiyena geli Expert Pharma,Yeniyetmələr üçün intim gigiyena geli Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010604-065866?sponsornumber=733560909&page=12,9.59,4.79,3.55,,1.08
2032,Analar üçün intim gigiyena geli Expert Pharma,Analar üçün intim gigiyena geli Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010604-065867?sponsornumber=733560909&page=13,9.59,4.79,3.55,,1.08
2033,Süd turşusu ilə intim gigiyena geli Expert Pharma,Süd turşusu ilə intim gigiyena geli Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010604-065868?sponsornumber=733560909&page=13,9.59,4.79,3.55,,1.08
12118,"Menopauza dövründə dəri üçün universal nəmləndirici gel ""Rahatlıq"" Expert Pharma","Menopauza dövründə dəri üçün universal nəmləndirici gel ""Rahatlıq"" Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010604-063672?sponsornumber=733560909&page=13",11.99,6.49,4.81,,2.92
3669,"Göz ətrafı dərisi üçün hidrogel patçlar ""Oksigenli nəmləndirmə"" Oxiology","Göz ətrafı dərisi üçün hidrogel patçlar ""Oksigenli nəmləndirmə"" Oxiology - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-063910?sponsornumber=733560909&page=13",2.39,1.19,0.88,,0.27
12053,Üz üçün krem-konsentrat «Mezabotoks» Expert,Üz üçün krem-konsentrat «Mezabotoks» Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-058574?sponsornumber=733560909&page=13,16.79,8.39,6.21,,3.76
10311,Oksigenli saç maskası Oxy Hair,Oksigenli saç maskası Oxy Hair - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-059111?sponsornumber=733560909&page=13,16.79,11.99,8.88,6.21,5.38
10312,Ampullarda oksigenli saç zərdabı Oxy Hair,Ampullarda oksigenli saç zərdabı Oxy Hair - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070301-059112?sponsornumber=733560909&page=13,11.99,9.09,6.73,4.44,4.08
10310,Antiyaşlanma oksigenli şampun Oxy Hair,Antiyaşlanma oksigenli şampun Oxy Hair - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070303-059108?sponsornumber=733560909&page=13,16.79,11.99,8.88,6.21,5.38
12045,"Üz üçün zərdab ""Dərin qırışların korreksiyası"" Expert","Üz üçün zərdab ""Dərin qırışların korreksiyası"" Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-058550?sponsornumber=733560909&page=13",16.79,11.99,8.88,,5.38
12044,Üz üçün aktiv zərdab «SMAS-liftinq» Expert,Üz üçün aktiv zərdab «SMAS-liftinq» Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-058549?sponsornumber=733560909&page=13,28.79,19.19,14.21,,8.61
12041,Göz qapaqları üçün krem UpLift Eye Expert,Göz qapaqları üçün krem UpLift Eye Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080203-058541?sponsornumber=733560909&page=13,16.79,11.99,8.88,,5.38
12036,"Üz və boyun kremi ""Dairəvi plastik"" Expert","Üz və boyun kremi ""Dairəvi plastik"" Expert - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-058535?sponsornumber=733560909&page=13",21.59,16.29,12.07,,7.32
910595,Saç düzümü üçün stayler,Saç düzümü üçün stayler - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-067050?sponsornumber=733560909&page=13,110.39,66.19,49.03,,14.86
10318,Həcmli saç düzümü üçün köpük Volume & Style,Həcmli saç düzümü üçün köpük Volume & Style - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070201-063786?sponsornumber=733560909&page=13,14.39,7.19,5.33,,3.23
41166,"Dodaq balzamı ""Yuzu və marakuya"" Vitamania","Dodaq balzamı ""Yuzu və marakuya"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060150?sponsornumber=733560909&page=13",5.79,3.09,2.29,,0.69
41165,"Dodaq balzamı ""Ananas və laym"" Vitamania","Dodaq balzamı ""Ananas və laym"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060149?sponsornumber=733560909&page=13",5.79,3.09,2.29,,0.69
41164,"Dodaq balzamı ""Qarpız və yemiş"" Vitamania","Dodaq balzamı ""Qarpız və yemiş"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060148?sponsornumber=733560909&page=13",5.79,3.09,2.29,,0.69
41163,"Dodaq balzamı ""Manqo və papaya"" Vitamania","Dodaq balzamı ""Manqo və papaya"" Vitamania - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060147?sponsornumber=733560909&page=13",5.79,3.09,2.29,,0.69
910579,Saçlar üçün üçdalğalı stayler,Saçlar üçün üçdalğalı stayler - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-064543?sponsornumber=733560909&page=13,198.69,137.99,102.21,,30.97
910597,"Sabun hissəcikləri ilə kisə ""Giləmeyvəli fantaziya""","Sabun hissəcikləri ilə kisə ""Giləmeyvəli fantaziya"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-067242?sponsornumber=733560909&page=13",15.19,8.29,6.14,,1.86
12059,"Üz üçün maska ""Yeddi gün mükəmməllik"" One Week Miracle","Üz üçün maska ""Yeddi gün mükəmməllik"" One Week Miracle - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-061415?sponsornumber=733560909&page=14",49.69,35.89,26.59,,16.12
3676,Diş minası üçün bəyazladıcı qələm,Diş minası üçün bəyazladıcı qələm - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-061826?sponsornumber=733560909&page=14,10.99,3.79,2.81,,0.85
3677,Ağız boşluğunun gigiyenası üçün simsiz LED-cihaz,Ağız boşluğunun gigiyenası üçün simsiz LED-cihaz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010207-060585?sponsornumber=733560909&page=14,38.59,19.29,14.29,,4.33
3681,Ağız yaxalayıcısı,Ağız yaxalayıcısı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-054082?sponsornumber=733560909&page=14,11.99,5.99,4.44,,1.35
3642,Dişlər üçün bəyazladıcı zolaqlar,Dişlər üçün bəyazladıcı zolaqlar - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-054087?sponsornumber=733560909&page=14,27.59,13.79,10.21,,3.09
12028,"Universal uşaq kremi ""Moruqlu ayıcıq"" Umooo 3+","Universal uşaq kremi ""Moruqlu ayıcıq"" Umooo 3+ - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-061453?sponsornumber=733560909&page=14",5.99,4.29,3.18,1.92,1.93
10097,"Uşaq duş geli ""Moruqlu ayıcıq"" Umooo 3+","Uşaq duş geli ""Moruqlu ayıcıq"" Umooo 3+ - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-061088?sponsornumber=733560909&page=14",9.59,7.19,5.33,3.03,3.23
10096,"Uşaq şampunu ""Moruqlu ayıcıq"" Umooo 3+","Uşaq şampunu ""Moruqlu ayıcıq"" Umooo 3+ - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-061047?sponsornumber=733560909&page=14",9.59,7.19,5.33,3.03,3.23
3678,Dişləri bəyazlatmaq və diş ətinə qulluq üçün gel,Dişləri bəyazlatmaq və diş ətinə qulluq üçün gel - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-060586?sponsornumber=733560909&page=14,9.59,4.79,3.55,0.03,2.15
12027,"2-si 1-də əl kremi ""Karite yağı""","2-si 1-də əl kremi ""Karite yağı"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-061416?sponsornumber=733560909&page=14",5.29,2.89,2.14,,0.65
12117,"2-si 1-də ayaq kremi ""Arı mumu""","2-si 1-də ayaq kremi ""Arı mumu"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010804-064037?sponsornumber=733560909&page=14",5.29,2.89,2.14,,0.65
2026,Ftorlu uşaq diş məcunu Umooo 6+,Ftorlu uşaq diş məcunu Umooo 6+ - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-060839?sponsornumber=733560909&page=14,4.79,2.39,1.77,,0.54
2025,Ftorsuz uşaq diş məcunu Umooo 3+,Ftorsuz uşaq diş məcunu Umooo 3+ - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-060838?sponsornumber=733560909&page=14,4.79,2.39,1.77,,0.54
12017,"2-si 1-də ayaq kremi ""Aloe""","2-si 1-də ayaq kremi ""Aloe"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010804-000317?sponsornumber=733560909&page=14",5.29,2.89,2.14,,0.65
41191,Peptidlərlə dodaq balzamı SOS,Peptidlərlə dodaq balzamı SOS - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060205?sponsornumber=733560909&page=14,5.79,4.29,3.18,1.84,1.93
41189,Pantenol ilə SOS dodaq balzamı,Pantenol ilə SOS dodaq balzamı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060203?sponsornumber=733560909&page=14,5.79,4.29,3.18,1.84,1.93
41185,Lanolin ilə qulluqedici dodaq balzamı SOS,Lanolin ilə qulluqedici dodaq balzamı SOS - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060200?sponsornumber=733560909&page=14,5.79,4.29,3.18,1.84,1.93
3689,"Cilalayıcı üz skrabı ""Oksigenli nəfəs"" Oxiology","Cilalayıcı üz skrabı ""Oksigenli nəfəs"" Oxiology - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-054116?sponsornumber=733560909&page=14",9.59,4.79,3.55,,2.15
3523,Qadınlar üçün parfümləşdirilmiş dezodorant-sprey Valkyrie,Qadınlar üçün parfümləşdirilmiş dezodorant-sprey Valkyrie - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010501-038022?sponsornumber=733560909&page=14,8.59,4.29,3.18,,0.96
910545,Kosmetik nəmləndirici əlcək,Kosmetik nəmləndirici əlcək - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-061952?sponsornumber=733560909&page=14,27.59,19.29,14.29,,4.33
910546,Kosmetik nəmləndirici corablar,Kosmetik nəmləndirici corablar - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011006-061953?sponsornumber=733560909&page=15,27.59,19.29,14.29,,4.33
910538,Saç qurutmaq üçün turban,Saç qurutmaq üçün turban - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-061452?sponsornumber=733560909&page=15,19.29,10.99,8.14,,2.47
41188,Sədəflərlə çalarlı dodaq balzamı Phyto,Sədəflərlə çalarlı dodaq balzamı Phyto - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060202?sponsornumber=733560909&page=15,5.79,3.09,2.29,,0.69
41187,Çalarlı dodaq balzamı Phyto,Çalarlı dodaq balzamı Phyto - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060201?sponsornumber=733560909&page=15,5.79,3.09,2.29,,0.69
41184,Supernəmləndirici dodaq balzamı Phyto,Supernəmləndirici dodaq balzamı Phyto - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060199?sponsornumber=733560909&page=15,5.79,3.09,2.29,,0.69
41183,Aniyaşlanma dodaq balzamı Phyto,Aniyaşlanma dodaq balzamı Phyto - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060198?sponsornumber=733560909&page=15,5.79,3.09,2.29,,0.69
41182,Vitaminli dodaq balzamı Phyto,Vitaminli dodaq balzamı Phyto - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-060197?sponsornumber=733560909&page=15,5.79,3.09,2.29,,0.69
12019,"Üz üçün canlandırıcı parça maska ""Pişik""","Üz üçün canlandırıcı parça maska ""Pişik"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-061414?sponsornumber=733560909&page=15",6.89,3.29,2.44,,0.74
